drug,cell_line,gCSI IC50
gdc0941,NB-1,10
gemcitabine,NB-1,0.01
irinotecan,NB-1,0.25
lapatinib,NB-1,8.93
ms275,NB-1,0.1
paclitaxel,NB-1,0.01
pd0325901,NB-1,20
rapamycin,NB-1,0.1
thapsigargin,NB-1,0.02
vinblastine,NB-1,NaN
vorinostat,NB-1,0.63
bid1870,NB69,10
bortezomib,NB69,0.04
crizotinib,NB69,1
dasatinib,NB69,NaN
docetaxel,NB69,0.09
doxorubicin,NB69,0.17
erlotinib,NB69,10
gdc0941,NB69,10
gemcitabine,NB69,0.08
irinotecan,NB69,0.37
lapatinib,NB69,9.07
ms275,NB69,0.1
paclitaxel,NB69,0.22
pd0325901,NB69,20
rapamycin,NB69,0.1
thapsigargin,NB69,0.09
vinblastine,NB69,NaN
vorinostat,NB69,0.52
bid1870,NIH:OVCAR-3,10
bortezomib,NIH:OVCAR-3,0.01
crizotinib,NIH:OVCAR-3,1
dasatinib,NIH:OVCAR-3,NaN
docetaxel,NIH:OVCAR-3,0.01
doxorubicin,NIH:OVCAR-3,0.5
erlotinib,NIH:OVCAR-3,10
gdc0941,NIH:OVCAR-3,0.55
gemcitabine,NIH:OVCAR-3,1
irinotecan,NIH:OVCAR-3,11.66
lapatinib,NIH:OVCAR-3,9.2
ms275,NIH:OVCAR-3,0.1
paclitaxel,NIH:OVCAR-3,0.01
pd0325901,NIH:OVCAR-3,20
rapamycin,NIH:OVCAR-3,0.1
thapsigargin,NIH:OVCAR-3,0.03
vinblastine,NIH:OVCAR-3,NaN
vorinostat,NIH:OVCAR-3,1.2
bid1870,NOMO-1,10
bortezomib,NOMO-1,0.05
crizotinib,NOMO-1,1
dasatinib,NOMO-1,NaN
docetaxel,NOMO-1,0.01
doxorubicin,NOMO-1,0.31
erlotinib,NOMO-1,10
gdc0941,NOMO-1,10
gemcitabine,NOMO-1,0.02
irinotecan,NOMO-1,0.55
lapatinib,NOMO-1,20
ms275,NOMO-1,0.1
paclitaxel,NOMO-1,0.01
pd0325901,NOMO-1,20
rapamycin,NOMO-1,0.1
thapsigargin,NOMO-1,1
vinblastine,NOMO-1,NaN
vorinostat,NOMO-1,2.1
bid1870,NUGC-3,10
bortezomib,NUGC-3,0.03
crizotinib,NUGC-3,1
dasatinib,NUGC-3,NaN
docetaxel,NUGC-3,0
doxorubicin,NUGC-3,0.1
erlotinib,NUGC-3,0.14
gdc0941,NUGC-3,10
gemcitabine,NUGC-3,0.01
irinotecan,NUGC-3,0.38
lapatinib,NUGC-3,0.96
ms275,NUGC-3,0.1
paclitaxel,NUGC-3,0.01
pd0325901,NUGC-3,0.07
rapamycin,NUGC-3,0.1
thapsigargin,NUGC-3,0.02
vinblastine,NUGC-3,NaN
vorinostat,NUGC-3,1.35
bid1870,NUGC-4,10
bortezomib,NUGC-4,0.12
crizotinib,NUGC-4,0.09
dasatinib,NUGC-4,NaN
docetaxel,NUGC-4,0.02
doxorubicin,NUGC-4,0.28
erlotinib,NUGC-4,10
gdc0941,NUGC-4,10
gemcitabine,NUGC-4,0.02
irinotecan,NUGC-4,2.19
lapatinib,NUGC-4,20
ms275,NUGC-4,0.1
paclitaxel,NUGC-4,0.02
pd0325901,NUGC-4,0.97
rapamycin,NUGC-4,0.1
thapsigargin,NUGC-4,0.08
vinblastine,NUGC-4,NaN
vorinostat,NUGC-4,0.79
bid1870,OAW42,10
bortezomib,OAW42,0.02
crizotinib,OAW42,1
dasatinib,OAW42,NaN
docetaxel,OAW42,0.05
doxorubicin,OAW42,0.36
erlotinib,OAW42,10
gdc0941,OAW42,0.26
gemcitabine,OAW42,0
irinotecan,OAW42,0.96
lapatinib,OAW42,6.76
ms275,OAW42,0.1
paclitaxel,OAW42,0.24
pd0325901,OAW42,1.31
rapamycin,OAW42,0.04
thapsigargin,OAW42,0.13
vinblastine,OAW42,NaN
vorinostat,OAW42,1.51
bid1870,OCI-AML2,10
bortezomib,OCI-AML2,0.01
crizotinib,OCI-AML2,1
dasatinib,OCI-AML2,0.1
docetaxel,OCI-AML2,0.01
doxorubicin,OCI-AML2,0.09
erlotinib,OCI-AML2,10
gdc0941,OCI-AML2,10
gemcitabine,OCI-AML2,0.01
irinotecan,OCI-AML2,0.27
lapatinib,OCI-AML2,20
ms275,OCI-AML2,0.1
paclitaxel,OCI-AML2,0.01
pd0325901,OCI-AML2,0
rapamycin,OCI-AML2,0.1
thapsigargin,OCI-AML2,0.1
vinblastine,OCI-AML2,0.01
vorinostat,OCI-AML2,1.28
bid1870,OCI-AML5,10
bortezomib,OCI-AML5,0.02
crizotinib,OCI-AML5,1
dasatinib,OCI-AML5,NaN
docetaxel,OCI-AML5,0.01
doxorubicin,OCI-AML5,0.28
erlotinib,OCI-AML5,10
gdc0941,OCI-AML5,10
gemcitabine,OCI-AML5,0.01
irinotecan,OCI-AML5,0.45
lapatinib,OCI-AML5,20
ms275,OCI-AML5,0.1
paclitaxel,OCI-AML5,0.02
pd0325901,OCI-AML5,0.12
rapamycin,OCI-AML5,0.1
thapsigargin,OCI-AML5,0.14
vinblastine,OCI-AML5,NaN
vorinostat,OCI-AML5,1.12
bid1870,OCI-LY-10,10
bortezomib,OCI-LY-10,0.04
crizotinib,OCI-LY-10,0.5
dasatinib,OCI-LY-10,0.01
docetaxel,OCI-LY-10,0
doxorubicin,OCI-LY-10,0.03
erlotinib,OCI-LY-10,10
gdc0941,OCI-LY-10,0.04
gemcitabine,OCI-LY-10,0
irinotecan,OCI-LY-10,0.14
lapatinib,OCI-LY-10,8.22
ms275,OCI-LY-10,0.1
paclitaxel,OCI-LY-10,0.01
pd0325901,OCI-LY-10,20
rapamycin,OCI-LY-10,0
thapsigargin,OCI-LY-10,0.01
vinblastine,OCI-LY-10,NaN
vorinostat,OCI-LY-10,0.46
bid1870,OCUM-1,10
bortezomib,OCUM-1,0.09
crizotinib,OCUM-1,1
dasatinib,OCUM-1,NaN
docetaxel,OCUM-1,0.01
doxorubicin,OCUM-1,0.39
erlotinib,OCUM-1,10
gdc0941,OCUM-1,10
gemcitabine,OCUM-1,0.03
irinotecan,OCUM-1,1.55
lapatinib,OCUM-1,20
ms275,OCUM-1,0.1
paclitaxel,OCUM-1,0.02
pd0325901,OCUM-1,0
rapamycin,OCUM-1,0.1
thapsigargin,OCUM-1,0.18
vinblastine,OCUM-1,NaN
vorinostat,OCUM-1,2.5
bid1870,OE19,10
bortezomib,OE19,0.05
crizotinib,OE19,1
dasatinib,OE19,NaN
docetaxel,OE19,0.01
doxorubicin,OE19,0.74
erlotinib,OE19,4.32
gdc0941,OE19,10
gemcitabine,OE19,1
irinotecan,OE19,20
lapatinib,OE19,0.76
ms275,OE19,0.1
paclitaxel,OE19,0.01
pd0325901,OE19,20
rapamycin,OE19,0.1
thapsigargin,OE19,0.12
vinblastine,OE19,NaN
vorinostat,OE19,1.26
bid1870,OE21,10
bortezomib,OE21,0.08
crizotinib,OE21,1
dasatinib,OE21,NaN
docetaxel,OE21,0
doxorubicin,OE21,0.34
erlotinib,OE21,0.12
gdc0941,OE21,10
gemcitabine,OE21,0.01
irinotecan,OE21,3.62
lapatinib,OE21,1.23
ms275,OE21,0.1
paclitaxel,OE21,0
pd0325901,OE21,0.27
rapamycin,OE21,0.02
thapsigargin,OE21,0.04
vinblastine,OE21,NaN
vorinostat,OE21,1.88
bid1870,OE33,10
bortezomib,OE33,0.05
crizotinib,OE33,0.1
dasatinib,OE33,NaN
docetaxel,OE33,0.01
doxorubicin,OE33,0.28
erlotinib,OE33,10
gdc0941,OE33,10
gemcitabine,OE33,0
irinotecan,OE33,1.14
lapatinib,OE33,6.83
ms275,OE33,0.1
paclitaxel,OE33,0
pd0325901,OE33,0.37
rapamycin,OE33,0.1
thapsigargin,OE33,0.08
vinblastine,OE33,NaN
vorinostat,OE33,1.33
bid1870,ONCO-DG-1,10
bortezomib,ONCO-DG-1,0.02
crizotinib,ONCO-DG-1,1
dasatinib,ONCO-DG-1,NaN
docetaxel,ONCO-DG-1,0.01
doxorubicin,ONCO-DG-1,0.45
erlotinib,ONCO-DG-1,2.9
gdc0941,ONCO-DG-1,0.2
gemcitabine,ONCO-DG-1,1
irinotecan,ONCO-DG-1,7.67
lapatinib,ONCO-DG-1,8.69
ms275,ONCO-DG-1,0.1
paclitaxel,ONCO-DG-1,0.01
pd0325901,ONCO-DG-1,18.26
rapamycin,ONCO-DG-1,0.1
thapsigargin,ONCO-DG-1,0.05
vinblastine,ONCO-DG-1,NaN
vorinostat,ONCO-DG-1,1.73
bid1870,ONS-76,10
bortezomib,ONS-76,0.05
crizotinib,ONS-76,1
dasatinib,ONS-76,NaN
docetaxel,ONS-76,0
doxorubicin,ONS-76,0.12
erlotinib,ONS-76,10
gdc0941,ONS-76,10
gemcitabine,ONS-76,0.02
irinotecan,ONS-76,1.17
lapatinib,ONS-76,8.86
ms275,ONS-76,0.1
paclitaxel,ONS-76,0.01
pd0325901,ONS-76,0.01
rapamycin,ONS-76,0.01
thapsigargin,ONS-76,0.03
vinblastine,ONS-76,NaN
vorinostat,ONS-76,0.96
bid1870,OPM-2,10
bortezomib,OPM-2,0.04
crizotinib,OPM-2,1
dasatinib,OPM-2,0.1
docetaxel,OPM-2,0.01
doxorubicin,OPM-2,0.84
erlotinib,OPM-2,10
gdc0941,OPM-2,10
gemcitabine,OPM-2,1
irinotecan,OPM-2,4.43
lapatinib,OPM-2,20
ms275,OPM-2,0.1
paclitaxel,OPM-2,0.02
pd0325901,OPM-2,1.76
rapamycin,OPM-2,0
thapsigargin,OPM-2,0.04
vinblastine,OPM-2,0
vorinostat,OPM-2,0.66
bid1870,OV-90,10
bortezomib,OV-90,0.04
crizotinib,OV-90,1
dasatinib,OV-90,NaN
docetaxel,OV-90,0.3
doxorubicin,OV-90,0.55
erlotinib,OV-90,10
gdc0941,OV-90,10
gemcitabine,OV-90,0.07
irinotecan,OV-90,6.73
lapatinib,OV-90,15.8
ms275,OV-90,0.1
paclitaxel,OV-90,3
pd0325901,OV-90,0.01
rapamycin,OV-90,0.1
thapsigargin,OV-90,0.02
vinblastine,OV-90,NaN
vorinostat,OV-90,1.66
bid1870,OVCAR-4,10
bortezomib,OVCAR-4,0.05
crizotinib,OVCAR-4,1
dasatinib,OVCAR-4,NaN
docetaxel,OVCAR-4,0.3
doxorubicin,OVCAR-4,2.84
erlotinib,OVCAR-4,10
gdc0941,OVCAR-4,10
gemcitabine,OVCAR-4,1
irinotecan,OVCAR-4,20
lapatinib,OVCAR-4,18.05
ms275,OVCAR-4,0.1
paclitaxel,OVCAR-4,0.03
pd0325901,OVCAR-4,20
rapamycin,OVCAR-4,0.1
thapsigargin,OVCAR-4,0.02
vinblastine,OVCAR-4,NaN
vorinostat,OVCAR-4,9.46
bid1870,OVCAR-5,10
bortezomib,OVCAR-5,0.04
crizotinib,OVCAR-5,1
dasatinib,OVCAR-5,NaN
docetaxel,OVCAR-5,0.01
doxorubicin,OVCAR-5,1.5
erlotinib,OVCAR-5,10
gdc0941,OVCAR-5,10
gemcitabine,OVCAR-5,0.04
irinotecan,OVCAR-5,3.7
lapatinib,OVCAR-5,8.19
ms275,OVCAR-5,0.1
paclitaxel,OVCAR-5,0.02
pd0325901,OVCAR-5,0.05
rapamycin,OVCAR-5,0.1
thapsigargin,OVCAR-5,0.01
vinblastine,OVCAR-5,NaN
vorinostat,OVCAR-5,1.1
bid1870,OVCAR-8,10
bortezomib,OVCAR-8,0.04
crizotinib,OVCAR-8,1
dasatinib,OVCAR-8,NaN
docetaxel,OVCAR-8,0.01
doxorubicin,OVCAR-8,0.27
erlotinib,OVCAR-8,10
gdc0941,OVCAR-8,10
gemcitabine,OVCAR-8,0.01
irinotecan,OVCAR-8,1.13
lapatinib,OVCAR-8,6.09
ms275,OVCAR-8,0.1
paclitaxel,OVCAR-8,0.02
pd0325901,OVCAR-8,2.97
rapamycin,OVCAR-8,0.1
thapsigargin,OVCAR-8,0.05
vinblastine,OVCAR-8,NaN
vorinostat,OVCAR-8,0.69
bid1870,OVSAHO,10
bortezomib,OVSAHO,0.05
crizotinib,OVSAHO,1
dasatinib,OVSAHO,NaN
docetaxel,OVSAHO,0.3
doxorubicin,OVSAHO,1.18
erlotinib,OVSAHO,10
gdc0941,OVSAHO,10
gemcitabine,OVSAHO,1
irinotecan,OVSAHO,20
lapatinib,OVSAHO,20
ms275,OVSAHO,0.1
paclitaxel,OVSAHO,3
pd0325901,OVSAHO,20
rapamycin,OVSAHO,0.1
thapsigargin,OVSAHO,0.05
vinblastine,OVSAHO,NaN
vorinostat,OVSAHO,6.19
bid1870,OVTOKO,10
bortezomib,OVTOKO,0.03
crizotinib,OVTOKO,1
dasatinib,OVTOKO,NaN
docetaxel,OVTOKO,0.05
doxorubicin,OVTOKO,0.68
erlotinib,OVTOKO,4.19
gdc0941,OVTOKO,10
gemcitabine,OVTOKO,0.01
irinotecan,OVTOKO,3.17
lapatinib,OVTOKO,7.59
ms275,OVTOKO,0.1
paclitaxel,OVTOKO,0.14
pd0325901,OVTOKO,20
rapamycin,OVTOKO,0.1
thapsigargin,OVTOKO,0.11
vinblastine,OVTOKO,NaN
vorinostat,OVTOKO,2.28
bid1870,PA-1,10
bortezomib,PA-1,0.02
crizotinib,PA-1,0.67
dasatinib,PA-1,NaN
docetaxel,PA-1,0
doxorubicin,PA-1,0.04
erlotinib,PA-1,10
gdc0941,PA-1,10
gemcitabine,PA-1,0
irinotecan,PA-1,0.31
lapatinib,PA-1,5.34
ms275,PA-1,0.1
paclitaxel,PA-1,0
pd0325901,PA-1,3.5
rapamycin,PA-1,0.01
thapsigargin,PA-1,0.01
vinblastine,PA-1,NaN
vorinostat,PA-1,0.38
bid1870,Panc 02.03,10
bortezomib,Panc 02.03,0.04
crizotinib,Panc 02.03,1
dasatinib,Panc 02.03,0.06
docetaxel,Panc 02.03,0.02
doxorubicin,Panc 02.03,0.99
erlotinib,Panc 02.03,5.14
gdc0941,Panc 02.03,10
gemcitabine,Panc 02.03,0.52
irinotecan,Panc 02.03,5.77
lapatinib,Panc 02.03,4.83
ms275,Panc 02.03,0.1
paclitaxel,Panc 02.03,0.03
pd0325901,Panc 02.03,0
rapamycin,Panc 02.03,0.1
thapsigargin,Panc 02.03,0.04
vinblastine,Panc 02.03,0.02
vorinostat,Panc 02.03,1.74
bid1870,Panc 03.27,10
bortezomib,Panc 03.27,0.12
crizotinib,Panc 03.27,1
dasatinib,Panc 03.27,NaN
docetaxel,Panc 03.27,0
doxorubicin,Panc 03.27,0.37
erlotinib,Panc 03.27,10
gdc0941,Panc 03.27,10
gemcitabine,Panc 03.27,0
irinotecan,Panc 03.27,1.16
lapatinib,Panc 03.27,20
ms275,Panc 03.27,0.1
paclitaxel,Panc 03.27,0.01
pd0325901,Panc 03.27,0.19
rapamycin,Panc 03.27,0.1
thapsigargin,Panc 03.27,0.03
vinblastine,Panc 03.27,NaN
vorinostat,Panc 03.27,4.29
bid1870,Panc 04.03,10
bortezomib,Panc 04.03,0.06
crizotinib,Panc 04.03,1
dasatinib,Panc 04.03,0.1
docetaxel,Panc 04.03,0.04
doxorubicin,Panc 04.03,1.25
erlotinib,Panc 04.03,10
gdc0941,Panc 04.03,10
gemcitabine,Panc 04.03,0.07
irinotecan,Panc 04.03,4.49
lapatinib,Panc 04.03,15.87
ms275,Panc 04.03,0.1
paclitaxel,Panc 04.03,0.09
pd0325901,Panc 04.03,0.21
rapamycin,Panc 04.03,0.1
thapsigargin,Panc 04.03,0.04
vinblastine,Panc 04.03,0.09
vorinostat,Panc 04.03,2.07
bid1870,Panc 10.05,10
bortezomib,Panc 10.05,0.01
crizotinib,Panc 10.05,1
dasatinib,Panc 10.05,NaN
docetaxel,Panc 10.05,0.01
doxorubicin,Panc 10.05,0.59
erlotinib,Panc 10.05,10
gdc0941,Panc 10.05,10
gemcitabine,Panc 10.05,0.04
irinotecan,Panc 10.05,1.91
lapatinib,Panc 10.05,7.42
ms275,Panc 10.05,0.1
paclitaxel,Panc 10.05,0.02
pd0325901,Panc 10.05,0.03
rapamycin,Panc 10.05,0.1
thapsigargin,Panc 10.05,0.05
vinblastine,Panc 10.05,NaN
vorinostat,Panc 10.05,2.6
bid1870,PA-TU-8902,10
bortezomib,PA-TU-8902,0.09
crizotinib,PA-TU-8902,1
dasatinib,PA-TU-8902,0.1
docetaxel,PA-TU-8902,0.01
doxorubicin,PA-TU-8902,0.35
erlotinib,PA-TU-8902,10
gdc0941,PA-TU-8902,10
gemcitabine,PA-TU-8902,0.03
irinotecan,PA-TU-8902,2.9
lapatinib,PA-TU-8902,20
ms275,PA-TU-8902,0.1
paclitaxel,PA-TU-8902,0.01
pd0325901,PA-TU-8902,0.08
rapamycin,PA-TU-8902,0.1
thapsigargin,PA-TU-8902,0.03
vinblastine,PA-TU-8902,0.04
vorinostat,PA-TU-8902,1.24
bid1870,PC-3,10
bortezomib,PC-3,0.03
crizotinib,PC-3,1
dasatinib,PC-3,NaN
docetaxel,PC-3,0.08
doxorubicin,PC-3,0.98
erlotinib,PC-3,10
gdc0941,PC-3,10
gemcitabine,PC-3,1
irinotecan,PC-3,5.23
lapatinib,PC-3,11.87
ms275,PC-3,0.1
paclitaxel,PC-3,0.06
pd0325901,PC-3,20
rapamycin,PC-3,0.1
thapsigargin,PC-3,0.03
vinblastine,PC-3,NaN
vorinostat,PC-3,3.39
bid1870,Pfeiffer,NaN
bortezomib,Pfeiffer,NaN
crizotinib,Pfeiffer,NaN
dasatinib,Pfeiffer,0.01
docetaxel,Pfeiffer,NaN
doxorubicin,Pfeiffer,NaN
erlotinib,Pfeiffer,NaN
gdc0941,Pfeiffer,NaN
gemcitabine,Pfeiffer,NaN
irinotecan,Pfeiffer,NaN
lapatinib,Pfeiffer,NaN
ms275,Pfeiffer,NaN
paclitaxel,Pfeiffer,NaN
pd0325901,Pfeiffer,NaN
rapamycin,Pfeiffer,NaN
thapsigargin,Pfeiffer,NaN
vinblastine,Pfeiffer,0.01
vorinostat,Pfeiffer,NaN
bid1870,PK-1,10
bortezomib,PK-1,0.03
crizotinib,PK-1,1
dasatinib,PK-1,0.1
docetaxel,PK-1,0.01
doxorubicin,PK-1,0.44
erlotinib,PK-1,5.45
gdc0941,PK-1,10
gemcitabine,PK-1,0.02
irinotecan,PK-1,3.85
lapatinib,PK-1,2.37
ms275,PK-1,0.1
paclitaxel,PK-1,0.02
pd0325901,PK-1,0.06
rapamycin,PK-1,0.1
thapsigargin,PK-1,0.05
vinblastine,PK-1,0.01
vorinostat,PK-1,1.56
bid1870,PK-45H,10
bortezomib,PK-45H,0.03
crizotinib,PK-45H,1
dasatinib,PK-45H,NaN
docetaxel,PK-45H,0.02
doxorubicin,PK-45H,0.69
erlotinib,PK-45H,10
gdc0941,PK-45H,10
gemcitabine,PK-45H,1
irinotecan,PK-45H,20
lapatinib,PK-45H,12.12
ms275,PK-45H,0.1
paclitaxel,PK-45H,0.04
pd0325901,PK-45H,0.02
rapamycin,PK-45H,0.1
thapsigargin,PK-45H,0.08
vinblastine,PK-45H,NaN
vorinostat,PK-45H,2.88
bid1870,PK-59,10
bortezomib,PK-59,0.02
crizotinib,PK-59,1
dasatinib,PK-59,0.09
docetaxel,PK-59,0.3
doxorubicin,PK-59,0.61
erlotinib,PK-59,10
gdc0941,PK-59,10
gemcitabine,PK-59,1
irinotecan,PK-59,20
lapatinib,PK-59,20
ms275,PK-59,0.1
paclitaxel,PK-59,0.23
pd0325901,PK-59,0.31
rapamycin,PK-59,0.1
thapsigargin,PK-59,0.05
vinblastine,PK-59,0.1
vorinostat,PK-59,2.69
bid1870,PL45,NaN
bortezomib,PL45,NaN
crizotinib,PL45,NaN
dasatinib,PL45,NaN
docetaxel,PL45,NaN
doxorubicin,PL45,NaN
erlotinib,PL45,NaN
gdc0941,PL45,NaN
gemcitabine,PL45,NaN
irinotecan,PL45,NaN
lapatinib,PL45,NaN
ms275,PL45,NaN
paclitaxel,PL45,NaN
pd0325901,PL45,NaN
rapamycin,PL45,NaN
thapsigargin,PL45,NaN
vinblastine,PL45,NaN
vorinostat,PL45,NaN
bid1870,PLC/PRF/5,10
bortezomib,PLC/PRF/5,0.17
crizotinib,PLC/PRF/5,1
dasatinib,PLC/PRF/5,NaN
docetaxel,PLC/PRF/5,0.3
doxorubicin,PLC/PRF/5,3.82
erlotinib,PLC/PRF/5,10
gdc0941,PLC/PRF/5,10
gemcitabine,PLC/PRF/5,1
irinotecan,PLC/PRF/5,20
lapatinib,PLC/PRF/5,20
ms275,PLC/PRF/5,0.1
paclitaxel,PLC/PRF/5,3
pd0325901,PLC/PRF/5,20
rapamycin,PLC/PRF/5,0.1
thapsigargin,PLC/PRF/5,0.08
vinblastine,PLC/PRF/5,NaN
vorinostat,PLC/PRF/5,3.46
bid1870,PSN1,10
bortezomib,PSN1,0.05
crizotinib,PSN1,1
dasatinib,PSN1,NaN
docetaxel,PSN1,0
doxorubicin,PSN1,0.17
erlotinib,PSN1,10
gdc0941,PSN1,10
gemcitabine,PSN1,0
irinotecan,PSN1,0.76
lapatinib,PSN1,20
ms275,PSN1,0.1
paclitaxel,PSN1,0.01
pd0325901,PSN1,0.01
rapamycin,PSN1,0.1
thapsigargin,PSN1,0.03
vinblastine,PSN1,NaN
vorinostat,PSN1,0.66
bid1870,QGP-1,10
bortezomib,QGP-1,0.06
crizotinib,QGP-1,1
dasatinib,QGP-1,NaN
docetaxel,QGP-1,0.3
doxorubicin,QGP-1,20
erlotinib,QGP-1,10
gdc0941,QGP-1,10
gemcitabine,QGP-1,1
irinotecan,QGP-1,20
lapatinib,QGP-1,20
ms275,QGP-1,0.1
paclitaxel,QGP-1,3
pd0325901,QGP-1,20
rapamycin,QGP-1,0.1
thapsigargin,QGP-1,1
vinblastine,QGP-1,NaN
vorinostat,QGP-1,4.3
bid1870,RAJI,10
bortezomib,RAJI,0.14
crizotinib,RAJI,1
dasatinib,RAJI,0.1
docetaxel,RAJI,0
doxorubicin,RAJI,0.09
erlotinib,RAJI,10
gdc0941,RAJI,10
gemcitabine,RAJI,0
irinotecan,RAJI,0.87
lapatinib,RAJI,20
ms275,RAJI,0.1
paclitaxel,RAJI,0.01
pd0325901,RAJI,20
rapamycin,RAJI,0.01
thapsigargin,RAJI,0.02
vinblastine,RAJI,0.02
vorinostat,RAJI,0.21
bid1870,RCM-1,10
bortezomib,RCM-1,0.11
crizotinib,RCM-1,1
dasatinib,RCM-1,NaN
docetaxel,RCM-1,0.3
doxorubicin,RCM-1,7.24
erlotinib,RCM-1,10
gdc0941,RCM-1,10
gemcitabine,RCM-1,1
irinotecan,RCM-1,10.64
lapatinib,RCM-1,20
ms275,RCM-1,0.1
paclitaxel,RCM-1,3
pd0325901,RCM-1,0.19
rapamycin,RCM-1,0.1
thapsigargin,RCM-1,1
vinblastine,RCM-1,NaN
vorinostat,RCM-1,3.87
bid1870,Reh,NaN
bortezomib,Reh,NaN
crizotinib,Reh,NaN
dasatinib,Reh,NaN
docetaxel,Reh,NaN
doxorubicin,Reh,NaN
erlotinib,Reh,NaN
gdc0941,Reh,NaN
gemcitabine,Reh,NaN
irinotecan,Reh,NaN
lapatinib,Reh,NaN
ms275,Reh,NaN
paclitaxel,Reh,NaN
pd0325901,Reh,NaN
rapamycin,Reh,NaN
thapsigargin,Reh,NaN
vinblastine,Reh,NaN
vorinostat,Reh,NaN
bid1870,RERF-GC-1B,10
bortezomib,RERF-GC-1B,0.05
crizotinib,RERF-GC-1B,1
dasatinib,RERF-GC-1B,NaN
docetaxel,RERF-GC-1B,0.01
doxorubicin,RERF-GC-1B,0.42
erlotinib,RERF-GC-1B,10
gdc0941,RERF-GC-1B,10
gemcitabine,RERF-GC-1B,1
irinotecan,RERF-GC-1B,1.06
lapatinib,RERF-GC-1B,4.92
ms275,RERF-GC-1B,0.1
paclitaxel,RERF-GC-1B,0.03
pd0325901,RERF-GC-1B,0.48
rapamycin,RERF-GC-1B,0.1
thapsigargin,RERF-GC-1B,0.04
vinblastine,RERF-GC-1B,NaN
vorinostat,RERF-GC-1B,1.7
bid1870,RERF-LC-MS,10
bortezomib,RERF-LC-MS,0.1
crizotinib,RERF-LC-MS,0.38
dasatinib,RERF-LC-MS,0.1
docetaxel,RERF-LC-MS,0
doxorubicin,RERF-LC-MS,0.09
erlotinib,RERF-LC-MS,10
gdc0941,RERF-LC-MS,10
gemcitabine,RERF-LC-MS,0.01
irinotecan,RERF-LC-MS,1.03
lapatinib,RERF-LC-MS,8.46
ms275,RERF-LC-MS,0.1
paclitaxel,RERF-LC-MS,0.01
pd0325901,RERF-LC-MS,0.32
rapamycin,RERF-LC-MS,0.1
thapsigargin,RERF-LC-MS,0.02
vinblastine,RERF-LC-MS,0.01
vorinostat,RERF-LC-MS,1.95
bid1870,RKN,10
bortezomib,RKN,0.02
crizotinib,RKN,1
dasatinib,RKN,NaN
docetaxel,RKN,0.01
doxorubicin,RKN,0.41
erlotinib,RKN,10
gdc0941,RKN,10
gemcitabine,RKN,0.02
irinotecan,RKN,1.72
lapatinib,RKN,15.19
ms275,RKN,0.1
paclitaxel,RKN,0.02
pd0325901,RKN,0.02
rapamycin,RKN,0.1
thapsigargin,RKN,0.1
vinblastine,RKN,NaN
vorinostat,RKN,2.05
bid1870,RKO,10
bortezomib,RKO,0.01
crizotinib,RKO,1
dasatinib,RKO,NaN
docetaxel,RKO,0.01
doxorubicin,RKO,0.15
erlotinib,RKO,10
gdc0941,RKO,10
gemcitabine,RKO,0
irinotecan,RKO,1.3
lapatinib,RKO,8.26
ms275,RKO,0.1
paclitaxel,RKO,0.01
pd0325901,RKO,0.03
rapamycin,RKO,0.1
thapsigargin,RKO,0.18
vinblastine,RKO,NaN
vorinostat,RKO,1.97
bid1870,RL,10
bortezomib,RL,0.01
crizotinib,RL,1
dasatinib,RL,NaN
docetaxel,RL,0
doxorubicin,RL,0.06
erlotinib,RL,10
gdc0941,RL,10
gemcitabine,RL,0
irinotecan,RL,0.37
lapatinib,RL,20
ms275,RL,0.1
paclitaxel,RL,0.01
pd0325901,RL,20
rapamycin,RL,0
thapsigargin,RL,0.05
vinblastine,RL,0.01
vorinostat,RL,0.42
bid1870,RL95-2,10
bortezomib,RL95-2,0.05
crizotinib,RL95-2,1
dasatinib,RL95-2,NaN
docetaxel,RL95-2,0.02
doxorubicin,RL95-2,0.92
erlotinib,RL95-2,10
gdc0941,RL95-2,10
gemcitabine,RL95-2,1
irinotecan,RL95-2,20
lapatinib,RL95-2,12.73
ms275,RL95-2,0.1
paclitaxel,RL95-2,0.05
pd0325901,RL95-2,0.04
rapamycin,RL95-2,0.1
thapsigargin,RL95-2,0.06
vinblastine,RL95-2,NaN
vorinostat,RL95-2,1.38
bid1870,RMG-I,10
bortezomib,RMG-I,0.11
crizotinib,RMG-I,1
dasatinib,RMG-I,NaN
docetaxel,RMG-I,0.3
doxorubicin,RMG-I,2.64
erlotinib,RMG-I,10
gdc0941,RMG-I,10
gemcitabine,RMG-I,1
irinotecan,RMG-I,20
lapatinib,RMG-I,4.58
ms275,RMG-I,0.1
paclitaxel,RMG-I,3
pd0325901,RMG-I,15.31
rapamycin,RMG-I,0.1
thapsigargin,RMG-I,0.09
vinblastine,RMG-I,NaN
vorinostat,RMG-I,2.43
bid1870,RPMI 2650,10
bortezomib,RPMI 2650,0.02
crizotinib,RPMI 2650,1
dasatinib,RPMI 2650,NaN
docetaxel,RPMI 2650,0.3
doxorubicin,RPMI 2650,0.37
erlotinib,RPMI 2650,10
gdc0941,RPMI 2650,10
gemcitabine,RPMI 2650,0.07
irinotecan,RPMI 2650,1.03
lapatinib,RPMI 2650,20
ms275,RPMI 2650,0.1
paclitaxel,RPMI 2650,0.09
pd0325901,RPMI 2650,20
